Log4j;2.0-alpha2;/home/thiago/git/Projetos/Log4j/2.0-alpha2/;24531;
Log4j;2.0-beta1;/home/thiago/git/Projetos/Log4j/2.0-beta1/;25404;
Log4j;2.0-beta2;/home/thiago/git/Projetos/Log4j/2.0-beta2/;26839;
Log4j;2.0-beta3;/home/thiago/git/Projetos/Log4j/2.0-beta3/;28550;
Log4j;2.0-beta4;/home/thiago/git/Projetos/Log4j/2.0-beta4/;33447;
Log4j;2.0-beta5;/home/thiago/git/Projetos/Log4j/2.0-beta5/;41112;
Log4j;2.0-beta6;/home/thiago/git/Projetos/Log4j/2.0-beta6/;41585;
Log4j;2.0-beta7;/home/thiago/git/Projetos/Log4j/2.0-beta7/;48081;
Log4j;2.0-beta8;/home/thiago/git/Projetos/Log4j/2.0-beta8/;49130;
Log4j;2.0-beta9;/home/thiago/git/Projetos/Log4j/2.0-beta9/;53613;
Log4j;2.0-rc1;/home/thiago/git/Projetos/Log4j/2.0-rc1/;56124;
Log4j;2.0-rc2;/home/thiago/git/Projetos/Log4j/2.0-rc2/;60795;
Log4j;2.0.1;/home/thiago/git/Projetos/Log4j/2.0.1/;62175;
Log4j;2.0.2;/home/thiago/git/Projetos/Log4j/2.0.2/;62692;
Log4j;2.1;/home/thiago/git/Projetos/Log4j/2.1/;69076;
Log4j;2.2;/home/thiago/git/Projetos/Log4j/2.2/;69525;
Log4j;2.3;/home/thiago/git/Projetos/Log4j/2.3/;70005;
Ant;1.0;/home/thiago/git/Projetos/Ant/1.0/;9662;
Ant;1.3;/home/thiago/git/Projetos/Ant/1.3/;33295;
Ant;1.4;/home/thiago/git/Projetos/Ant/1.4/;43415;
Ant;1.4.1;/home/thiago/git/Projetos/Ant/1.4.1/;43483;
Ant;1.5;/home/thiago/git/Projetos/Ant/1.5/;71956;
Ant;1.5.1;/home/thiago/git/Projetos/Ant/1.5.1/;72347;
Ant;1.5.2;/home/thiago/git/Projetos/Ant/1.5.2/;74046;
Ant;1.5.3-1;/home/thiago/git/Projetos/Ant/1.5.3-1/;74136;
Ant;1.5.4;/home/thiago/git/Projetos/Ant/1.5.4/;74195;
Ant;1.6.0;/home/thiago/git/Projetos/Ant/1.6.0/;97270;
Ant;1.6.1;/home/thiago/git/Projetos/Ant/1.6.1/;98229;
Ant;1.6.2;/home/thiago/git/Projetos/Ant/1.6.2/;101910;
Ant;1.6.3;/home/thiago/git/Projetos/Ant/1.6.3/;104426;
Ant;1.6.4;/home/thiago/git/Projetos/Ant/1.6.4/;104449;
