 application;yes;ANT;1.9.6;/Users/rbonifacio/Documents/java-projects/apache-ant-1.9.6/;135741;
 application;yes;ANTLR;4.5.1;/Users/rbonifacio/Documents/java-projects/ANTLR/4.5.1/;89935;
 application;no;Archiva;2.2.0;/Users/rbonifacio/Documents/java-projects/Archiva/2.2.0/;84632;
 library;no;Axis;1.4;/Users/rbonifacio/Documents/java-projects/axis-1.4-src/;121820;
server/database;no;Cassandra;2.2.1;/Users/rbonifacio/Documents/java-projects/Cassandra/2.2.1/;282336;
 library;yes;Commons-Collections;4.4.0;/Users/rbonifacio/Documents/java-projects/commons-collections4-4.0/;51622;
 library;no;Crawler4j;latest;/Users/rbonifacio/Documents/java-projects/Crawler4j/latest/;3986;
 application;no;Eclipse;R4_5;/Users/rbonifacio/Documents/java-projects/Eclipse/R4_5/;13429;
 application;yes;Eclipse-CS;6.9.0;/Users/rbonifacio/Documents/java-projects/eclipse-cs-6.9.0/;20426;
 application;yes;FindBugs;3.0.1;/Users/rbonifacio/Documents/java-projects/FindBugs/3.0.1/;131351;
 application;no;FitNesse;20150814;/Users/rbonifacio/Documents/java-projects/FitNesse/20150814/;72836;
 application;yes;Free-Mind;1.0.1;/Users/rbonifacio/Documents/java-projects/Free-Mind/1.0.1/;67357;
 application;no;Gradle;2.7;/Users/rbonifacio/Documents/java-projects/gradle-2.7/;193428;
 library;no;Gwt;2.7.0;/Users/rbonifacio/Documents/java-projects/gwt-2.7.0/;15421;
server/database;no;Hadoop;2.6.1;/Users/rbonifacio/Documents/java-projects/Hadoop/2.6.1/;896615;
 library;yes;Hibernate;5.0.1;/Users/rbonifacio/Documents/java-projects/hibernate-5.0.1/;541116;
 library;no;Isis;1.9.0;/Users/rbonifacio/Documents/java-projects/Isis/1.9.0/;262247;
 application;no;Ivy;2.4.0;/Users/rbonifacio/Documents/java-projects/Ivy/2.4.0/;72630;
 library;no;Jclouds;1.9.1;/Users/rbonifacio/Documents/java-projects/Jclouds/1.9.1/;301592;
 application;yes;jEdit;5.2.0;/Users/rbonifacio/Documents/java-projects/jEdit/;118492;
 application;no;Jenkins;1.629;/Users/rbonifacio/Documents/java-projects/Jenkins/1.629/;113763;
server/database;yes;Jetty;9.3.2;/Users/rbonifacio/Documents/java-projects/Jetty/9.3.2/;299923;
 application;yes;JMeter;2.13;/Users/rbonifacio/Documents/java-projects/JMeter/2.13/;111317;
 library;yes;JUnit;4.1.2;/Users/rbonifacio/Documents/java-projects/JUnit/4.1.2/;26456;
 library;yes;Log4j;2.2;/Users/rbonifacio/Documents/java-projects/Log4j/2.2/;69525;
server/database;yes;Lucene;5.3.1;/Users/rbonifacio/Documents/java-projects/lucene/5.3.1/;506711;
 application;yes;Maven;3.3.3;/Users/rbonifacio/Documents/java-projects/apache-maven-3.3.3/;78476;
 library;no;MyFaces;2.2.8;/Users/rbonifacio/Documents/java-projects/myfaces-2.2.8/;222865;
 application;no;Openmeetings;3.0.6;/Users/rbonifacio/Documents/java-projects/openmeetings-3.0.6/;50496;
 application;no;Postgree jdbc;9.4.1202;/Users/rbonifacio/Documents/java-projects/postgree-jdbc/9.4.1202/;43596;
 library;no;Quartz;2.2.1;/Users/rbonifacio/Documents/java-projects/quartz-2.2.1/;31968;
 application;no;Sonar;5.2;/Users/rbonifacio/Documents/java-projects/sonar-5.2/;362284;
 library;no;Spark;1.5.0;/Users/rbonifacio/Documents/java-projects/Spark/1.5.0/;31282;
 library;yes;Spring-framework;4.2.1;/Users/rbonifacio/Documents/java-projects/spring-framework-4.2.1/;531757;
 application;yes;Squirrel;3.4.0;/Users/rbonifacio/Documents/java-projects/squirrel-3.4.0/;252997;
 library;no;Storm;0.10.0;/Users/rbonifacio/Documents/java-projects/Storm/latest/;98344;
server/database;yes;Tomcat;8.0.24;/Users/rbonifacio/Documents/java-projects/tomcat-8.0.24/;285891;
 library;no;UimaDucc;2.0.0;/Users/rbonifacio/Documents/java-projects/uima-ducc-2.0.0/;96020;
 application;yes;Vuze;5621-39;/Users/rbonifacio/Documents/java-projects/vuze-5621-39/;608670;
 application;yes;Weka;3.6.12;/Users/rbonifacio/Documents/java-projects/Weka/3.6.12/;274978;
 library;no;Wicket;7.0.0;/Users/rbonifacio/Documents/java-projects/Wicket/7.0.0/;211618;
server/database;yes;Wildfly;9.0.1;/Users/rbonifacio/Documents/java-projects/wildfly-9.0.1/;392776;
 library;no;Woden;1;/Users/rbonifacio/Documents/java-projects/Woden/1.0/;29348;
 library;yes;Xerces;2.11.0;/Users/rbonifacio/Documents/java-projects/Xerces/2.11.0/;126228;
