Type,File,Super Class,Interfaces,Start in line,End in line,Project Name,Version Project,
VectorSet,/home/thiago/git/Ant/apache-ant-1.9.3/src/main/org/apache/tools/ant/util/VectorSet.java,Vector<E>,[],26,230,apache-ant-1.9.3,1.9.3,
IdentityStack,/home/thiago/git/Ant/apache-ant-1.9.3/src/main/org/apache/tools/ant/util/IdentityStack.java,Stack<E>,[],22,105,apache-ant-1.9.3,1.9.3,
EmptyEnumeration,/home/thiago/git/Ant/apache-ant-1.9.3/src/main/org/apache/tools/ant/util/CollectionUtils.java,null,[Enumeration<E>],137,160,apache-ant-1.9.3,1.9.3,
CompoundEnumeration,/home/thiago/git/Ant/apache-ant-1.9.3/src/main/org/apache/tools/ant/util/CollectionUtils.java,null,[Enumeration<E>],222,243,apache-ant-1.9.3,1.9.3,
ReaderFactory,/home/thiago/git/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/Concat.java,null,[],214,216,apache-ant-1.9.4,1.9.4,
MultiReader,/home/thiago/git/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/Concat.java,Reader,[],218,378,apache-ant-1.9.4,1.9.4,
LinkedHashtable,/home/thiago/git/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/util/LinkedHashtable.java,Hashtable<K,V>,[],27,132,apache-ant-1.9.4,1.9.4,
VectorSet,/home/thiago/git/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/util/VectorSet.java,Vector<E>,[],26,242,apache-ant-1.9.4,1.9.4,
IdentityStack,/home/thiago/git/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/util/IdentityStack.java,Stack<E>,[],26,130,apache-ant-1.9.4,1.9.4,
EmptyEnumeration,/home/thiago/git/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/util/CollectionUtils.java,null,[Enumeration<E>],137,160,apache-ant-1.9.4,1.9.4,
CompoundEnumeration,/home/thiago/git/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/util/CollectionUtils.java,null,[Enumeration<E>],222,243,apache-ant-1.9.4,1.9.4,
