Variable,File,Type of variable,Project Name,Version Project,
proxyClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/TypeAdapter.java,Class<?>,apache-ant-1.9.0,1.9.0,
choices,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/input/MultipleChoiceInputRequest.java,Vector<String>,apache-ant-1.9.0,1.9.0,
entry,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,Map.Entry<String,TokenizedPath>,apache-ant-1.9.0,1.9.0,
entry,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,Map.Entry<TokenizedPath,String>,apache-ant-1.9.0,1.9.0,
directoryNamesFollowed,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,LinkedList<String>,apache-ant-1.9.0,1.9.0,
directoryNamesFollowed,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,LinkedList<String>,apache-ant-1.9.0,1.9.0,
inc,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,Vector<String>,apache-ant-1.9.0,1.9.0,
exc,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,Vector<String>,apache-ant-1.9.0,1.9.0,
des,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,Vector<String>,apache-ant-1.9.0,1.9.0,
map,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,Map<String,TokenizedPath>,apache-ant-1.9.0,1.9.0,
directoryNamesFollowed,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,LinkedList<String>,apache-ant-1.9.0,1.9.0,
clazz,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Diagnostics.java,Class<?>,apache-ant-1.9.0,1.9.0,
clazz,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Diagnostics.java,Class<?>,apache-ant-1.9.0,1.9.0,
taskClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/TaskAdapter.java,Class<?>,apache-ant-1.9.0,1.9.0,
proxyClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/TaskAdapter.java,Class<?>,apache-ant-1.9.0,1.9.0,
entry,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/UnknownElement.java,Map.Entry<String,Object>,apache-ant-1.9.0,1.9.0,
currentTargets,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/helper/AntXMLContext.java,Map<String,Target>,apache-ant-1.9.0,1.9.0,
