Method,Package,Start in line,End in line,Project Name,Version Project,
getDataTypeDefinitions,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ComponentHelper.java,417,443,apache-ant-1.9.0,1.9.0,
getRestrictedDefinitions,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ComponentHelper.java,445,458,apache-ant-1.9.0,1.9.0,
getAntTypeTable,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ComponentHelper.java,495,504,apache-ant-1.9.0,1.9.0,
findTypeMatches,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ComponentHelper.java,1083,1099,apache-ant-1.9.0,1.9.0,
getElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/XMLCatalog.java,163,170,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/FileSet.java,60,71,apache-ant-1.9.0,1.9.0,
getResourceFiles,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/ArchiveScanner.java,206,218,apache-ant-1.9.0,1.9.0,
getResourceDirectories,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/ArchiveScanner.java,220,232,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/ResourceCollection.java,29,33,apache-ant-1.9.0,1.9.0,
getFilters,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/FilterSet.java,215,236,apache-ant-1.9.0,1.9.0,
getFilterHash,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/FilterSet.java,247,265,apache-ant-1.9.0,1.9.0,
parseActions,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/Permissions.java,329,343,apache-ant-1.9.0,1.9.0,
findElementInTarget,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/Description.java,105,114,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/Commandline.java,681,688,apache-ant-1.9.0,1.9.0,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/AbstractFileSet.java,618,629,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/FileList.java,185,196,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/DirSet.java,61,72,apache-ant-1.9.0,1.9.0,
getVariablesVector,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/Environment.java,167,175,apache-ant-1.9.0,1.9.0,
getAllSystemProperties,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/PropertySet.java,275,288,apache-ant-1.9.0,1.9.0,
getPropertyMap,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/PropertySet.java,300,337,apache-ant-1.9.0,1.9.0,
getEffectiveProperties,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/PropertySet.java,339,347,apache-ant-1.9.0,1.9.0,
getPropertyNames,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/PropertySet.java,349,371,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/PropertySet.java,508,536,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Archives.java,86,100,apache-ant-1.9.0,1.9.0,
grabArchives,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Archives.java,143,156,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/BCFileSet.java,45,58,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java,131,143,apache-ant-1.9.0,1.9.0,
getResourceCollections,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java,208,215,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java,217,221,apache-ant-1.9.0,1.9.0,
cacheCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java,261,266,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/First.java,33,45,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Difference.java,36,60,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/MappedResourceCollection.java,142,151,apache-ant-1.9.0,1.9.0,
cacheCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/MappedResourceCollection.java,215,220,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/MappedResourceCollection.java,222,241,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/ResourceList.java,109,120,apache-ant-1.9.0,1.9.0,
createIterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/LazyResourceCollectionWrapper.java,21,34,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Union.java,103,109,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Union.java,111,121,apache-ant-1.9.0,1.9.0,
getAllToStrings,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Union.java,123,134,apache-ant-1.9.0,1.9.0,
getAllResources,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Union.java,136,153,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Intersect.java,36,55,apache-ant-1.9.0,1.9.0,
collect,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Intersect.java,57,63,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Sort.java,47,60,apache-ant-1.9.0,1.9.0,
createIterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper.java,34,36,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper.java,42,46,apache-ant-1.9.0,1.9.0,
cacheCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper.java,48,53,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/AbstractResourceCollectionWrapper.java,84,94,apache-ant-1.9.0,1.9.0,
createIterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/AbstractResourceCollectionWrapper.java,96,104,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Files.java,309,332,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Resources.java,78,80,apache-ant-1.9.0,1.9.0,
getCache,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Resources.java,81,90,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Resources.java,162,172,apache-ant-1.9.0,1.9.0,
getNested,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Resources.java,271,273,apache-ant-1.9.0,1.9.0,
getCheckClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/selectors/InstanceOf.java,75,81,apache-ant-1.9.0,1.9.0,
getSelectors,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/selectors/ResourceSelectorContainer.java,93,103,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Restrict.java,95,105,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Tokens.java,48,86,apache-ant-1.9.0,1.9.0,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/resources/Last.java,37,71,apache-ant-1.9.0,1.9.0,
getImplementationClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/Mapper.java,249,267,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/ArchiveFileSet.java,307,321,apache-ant-1.9.0,1.9.0,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/selectors/SelectorContainer.java,53,58,apache-ant-1.9.0,1.9.0,
getComparator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java,941,947,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/selectors/modifiedselector/Cache.java,67,71,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/selectors/modifiedselector/PropertiesfileCache.java,207,218,apache-ant-1.9.0,1.9.0,
tokenizePath,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/selectors/SelectorUtils.java,504,514,apache-ant-1.9.0,1.9.0,
tokenizePath,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/selectors/SelectorUtils.java,516,537,apache-ant-1.9.0,1.9.0,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/selectors/SelectSelector.java,113,122,apache-ant-1.9.0,1.9.0,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/selectors/BaseSelectorContainer.java,77,84,apache-ant-1.9.0,1.9.0,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/selectors/AbstractSelectorContainer.java,81,92,apache-ant-1.9.0,1.9.0,
getFilterReaders,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/FilterChain.java,66,77,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/Resource.java,338,361,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/Path.java,117,123,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/types/Path.java,693,709,apache-ant-1.9.0,1.9.0,
getProcessors,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ArgumentProcessorRegistry.java,66,68,apache-ant-1.9.0,1.9.0,
getProjectHelperBySystemProperty,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ProjectHelperRepository.java,163,179,apache-ant-1.9.0,1.9.0,
getProjectHelperByService,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ProjectHelperRepository.java,181,207,apache-ant-1.9.0,1.9.0,
getHelperConstructor,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ProjectHelperRepository.java,209,242,apache-ant-1.9.0,1.9.0,
getHelpers,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ProjectHelperRepository.java,290,299,apache-ant-1.9.0,1.9.0,
getChoices,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/input/MultipleChoiceInputRequest.java,45,50,apache-ant-1.9.0,1.9.0,
getScannedDirs,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/DirectoryScanner.java,1781,1788,apache-ant-1.9.0,1.9.0,
getStack,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/XmlLogger.java,210,225,apache-ant-1.9.0,1.9.0,
getChildren,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/UnknownElement.java,77,82,apache-ant-1.9.0,1.9.0,
getWrapperStack,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/helper/AntXMLContext.java,252,258,apache-ant-1.9.0,1.9.0,
getTargets,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/helper/AntXMLContext.java,301,307,apache-ant-1.9.0,1.9.0,
getCurrentTargets,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/helper/AntXMLContext.java,400,406,apache-ant-1.9.0,1.9.0,
forceLoadClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,634,658,apache-ant-1.9.0,1.9.0,
forceLoadSystemClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,660,685,apache-ant-1.9.0,1.9.0,
getNamedResources,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,910,923,apache-ant-1.9.0,1.9.0,
findResources,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,925,936,apache-ant-1.9.0,1.9.0,
findResources,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,938,976,apache-ant-1.9.0,1.9.0,
loadClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,1032,1088,apache-ant-1.9.0,1.9.0,
defineClassFromData,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,1103,1130,apache-ant-1.9.0,1.9.0,
getClassFromStream,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,1273,1300,apache-ant-1.9.0,1.9.0,
findClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,1302,1316,apache-ant-1.9.0,1.9.0,
