Method,Package,Start in line,End in line,Project Name,Version Project,
getBuildListeners,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Ant.java,755,760,apache-ant-1.9.0,1.9.0,
getBuildListeners,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,425,438,apache-ant-1.9.0,1.9.0,
getProperties,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,639,646,apache-ant-1.9.0,1.9.0,
getUserProperties,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,648,654,apache-ant-1.9.0,1.9.0,
getInheritedProperties,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,656,663,apache-ant-1.9.0,1.9.0,
getFilters,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,799,814,apache-ant-1.9.0,1.9.0,
getTaskDefinitions,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1016,1025,apache-ant-1.9.0,1.9.0,
getCopyOfTaskDefinitions,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1027,1038,apache-ant-1.9.0,1.9.0,
getDataTypeDefinitions,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1058,1067,apache-ant-1.9.0,1.9.0,
getCopyOfDataTypeDefinitions,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1069,1080,apache-ant-1.9.0,1.9.0,
getTargets,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1143,1150,apache-ant-1.9.0,1.9.0,
getCopyOfTargets,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1152,1160,apache-ant-1.9.0,1.9.0,
topoSort,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1739,1756,apache-ant-1.9.0,1.9.0,
topoSort,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1758,1778,apache-ant-1.9.0,1.9.0,
topoSort,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1780,1841,apache-ant-1.9.0,1.9.0,
getReferences,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,1986,1994,apache-ant-1.9.0,1.9.0,
getCopyOfReferences,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Project.java,2005,2016,apache-ant-1.9.0,1.9.0,
elements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/LinkedHashtable.java,77,79,apache-ant-1.9.0,1.9.0,
entrySet,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/LinkedHashtable.java,81,83,apache-ant-1.9.0,1.9.0,
keys,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/LinkedHashtable.java,101,103,apache-ant-1.9.0,1.9.0,
keySet,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/LinkedHashtable.java,105,107,apache-ant-1.9.0,1.9.0,
values,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/LinkedHashtable.java,129,131,apache-ant-1.9.0,1.9.0,
getJrePackages,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/JavaEnvUtils.java,477,487,apache-ant-1.9.0,1.9.0,
getFileDependencies,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/depend/AbstractAnalyzer.java,73,89,apache-ant-1.9.0,1.9.0,
getClassDependencies,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/depend/AbstractAnalyzer.java,91,103,apache-ant-1.9.0,1.9.0,
getRootClasses,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/depend/AbstractAnalyzer.java,208,216,apache-ant-1.9.0,1.9.0,
getDependencies,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/depend/bcel/DependencyVisitor.java,44,52,apache-ant-1.9.0,1.9.0,
getFileDependencies,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/depend/DependencyAnalyzer.java,64,71,apache-ant-1.9.0,1.9.0,
getClassDependencies,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/depend/DependencyAnalyzer.java,73,80,apache-ant-1.9.0,1.9.0,
getInstance,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/IdentityStack.java,30,44,apache-ant-1.9.0,1.9.0,
append,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/CollectionUtils.java,162,172,apache-ant-1.9.0,1.9.0,
asEnumeration,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/CollectionUtils.java,174,188,apache-ant-1.9.0,1.9.0,
asIterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/CollectionUtils.java,190,207,apache-ant-1.9.0,1.9.0,
asCollection,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/CollectionUtils.java,209,220,apache-ant-1.9.0,1.9.0,
lineSplit,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/StringUtils.java,46,54,apache-ant-1.9.0,1.9.0,
split,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/util/StringUtils.java,56,74,apache-ant-1.9.0,1.9.0,
getExposedClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntTypeDefinition.java,142,159,apache-ant-1.9.0,1.9.0,
getTypeClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntTypeDefinition.java,161,178,apache-ant-1.9.0,1.9.0,
innerGetTypeClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntTypeDefinition.java,180,197,apache-ant-1.9.0,1.9.0,
getImportStack,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ProjectHelper.java,149,158,apache-ant-1.9.0,1.9.0,
getExtensionStack,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ProjectHelper.java,160,171,apache-ant-1.9.0,1.9.0,
getMapForProperty,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/property/LocalPropertyStack.java,139,146,apache-ant-1.9.0,1.9.0,
getAttributeMap,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/RuntimeConfigurable.java,219,228,apache-ant-1.9.0,1.9.0,
getChildren,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/RuntimeConfigurable.java,264,272,apache-ant-1.9.0,1.9.0,
getElementType,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/IntrospectionHelper.java,822,842,apache-ant-1.9.0,1.9.0,
getAttributeType,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/IntrospectionHelper.java,844,864,apache-ant-1.9.0,1.9.0,
getAttributes,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/IntrospectionHelper.java,936,944,apache-ant-1.9.0,1.9.0,
getAttributeMap,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/IntrospectionHelper.java,946,956,apache-ant-1.9.0,1.9.0,
getNestedElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/IntrospectionHelper.java,958,968,apache-ant-1.9.0,1.9.0,
getNestedElementMap,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/IntrospectionHelper.java,970,981,apache-ant-1.9.0,1.9.0,
getExtensionPoints,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/IntrospectionHelper.java,983,1003,apache-ant-1.9.0,1.9.0,
getComparator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/filters/SortFilter.java,278,285,apache-ant-1.9.0,1.9.0,
getTokens,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/filters/ReplaceTokens.java,273,281,apache-ant-1.9.0,1.9.0,
getRegexps,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/filters/LineContainsRegExp.java,162,174,apache-ant-1.9.0,1.9.0,
getContains,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/filters/LineContains.java,170,181,apache-ant-1.9.0,1.9.0,
getComments,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/filters/StripLineComments.java,156,163,apache-ant-1.9.0,1.9.0,
vectorizeEmailAddresses,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/listener/MailLogger.java,402,409,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/tests/junit/org/apache/tools/ant/types/resources/LazyResourceCollectionTest.java,42,46,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/tests/junit/org/apache/tools/ant/types/selectors/MockCache.java,57,60,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/tests/junit/org/apache/tools/ant/taskdefs/ZipExtraFieldTest.java,74,76,apache-ant-1.9.0,1.9.0,
supportedOptions,/home/thiago/git/Ant/apache-ant-1.9.1/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,37,39,apache-ant-1.9.1,1.9.1,
supportedAnnotationTypes,/home/thiago/git/Ant/apache-ant-1.9.1/src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java,41,43,apache-ant-1.9.1,1.9.1,
parsePaxHeaders,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/tar/TarInputStream.java,390,434,apache-ant-1.9.1,1.9.1,
getEntries,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/zip/ZipFile.java,266,276,apache-ant-1.9.1,1.9.1,
getEntriesInPhysicalOrder,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/zip/ZipFile.java,278,293,apache-ant-1.9.1,1.9.1,
populateFromCentralDirectory,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/zip/ZipFile.java,396,428,apache-ant-1.9.1,1.9.1,
getExpanders,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/PropertyHelper.java,412,419,apache-ant-1.9.1,1.9.1,
getProperties,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/PropertyHelper.java,892,907,apache-ant-1.9.1,1.9.1,
getUserProperties,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/PropertyHelper.java,909,922,apache-ant-1.9.1,1.9.1,
getInheritedProperties,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/PropertyHelper.java,924,937,apache-ant-1.9.1,1.9.1,
getInternalProperties,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/PropertyHelper.java,939,945,apache-ant-1.9.1,1.9.1,
getInternalUserProperties,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/PropertyHelper.java,947,954,apache-ant-1.9.1,1.9.1,
getInternalInheritedProperties,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/PropertyHelper.java,956,963,apache-ant-1.9.1,1.9.1,
getDelegates,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/PropertyHelper.java,1111,1123,apache-ant-1.9.1,1.9.1,
getDelegateInterfaces,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/PropertyHelper.java,1125,1147,apache-ant-1.9.1,1.9.1,
getResources,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/loader/AntClassLoader5.java,56,59,apache-ant-1.9.1,1.9.1,
getCheckedNamespace,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ComponentHelper.java,195,202,apache-ant-1.9.1,1.9.1,
getRestrictedDefinition,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ComponentHelper.java,204,220,apache-ant-1.9.1,1.9.1,
getComponentClass,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ComponentHelper.java,288,299,apache-ant-1.9.1,1.9.1,
getTaskDefinitions,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ComponentHelper.java,389,416,apache-ant-1.9.1,1.9.1,
getDataTypeDefinitions,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ComponentHelper.java,418,444,apache-ant-1.9.1,1.9.1,
getRestrictedDefinitions,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ComponentHelper.java,446,459,apache-ant-1.9.1,1.9.1,
getAntTypeTable,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ComponentHelper.java,496,505,apache-ant-1.9.1,1.9.1,
findTypeMatches,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ComponentHelper.java,1084,1100,apache-ant-1.9.1,1.9.1,
getElements,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/XMLCatalog.java,163,170,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/FileSet.java,60,71,apache-ant-1.9.1,1.9.1,
getResourceFiles,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/ArchiveScanner.java,206,218,apache-ant-1.9.1,1.9.1,
getResourceDirectories,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/ArchiveScanner.java,220,232,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/ResourceCollection.java,29,33,apache-ant-1.9.1,1.9.1,
getFilters,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/FilterSet.java,215,236,apache-ant-1.9.1,1.9.1,
getFilterHash,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/FilterSet.java,247,265,apache-ant-1.9.1,1.9.1,
parseActions,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/Permissions.java,329,343,apache-ant-1.9.1,1.9.1,
findElementInTarget,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/Description.java,105,114,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/Commandline.java,681,688,apache-ant-1.9.1,1.9.1,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/AbstractFileSet.java,618,629,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/FileList.java,185,196,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/DirSet.java,61,72,apache-ant-1.9.1,1.9.1,
getVariablesVector,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/Environment.java,167,175,apache-ant-1.9.1,1.9.1,
getAllSystemProperties,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/PropertySet.java,275,288,apache-ant-1.9.1,1.9.1,
getPropertyMap,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/PropertySet.java,300,337,apache-ant-1.9.1,1.9.1,
getEffectiveProperties,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/PropertySet.java,339,347,apache-ant-1.9.1,1.9.1,
getPropertyNames,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/PropertySet.java,349,371,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/PropertySet.java,508,536,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Archives.java,86,100,apache-ant-1.9.1,1.9.1,
grabArchives,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Archives.java,143,156,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/BCFileSet.java,45,58,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java,131,143,apache-ant-1.9.1,1.9.1,
getResourceCollections,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java,208,215,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java,217,221,apache-ant-1.9.1,1.9.1,
cacheCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java,261,266,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/First.java,33,45,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Difference.java,36,60,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/MappedResourceCollection.java,142,151,apache-ant-1.9.1,1.9.1,
cacheCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/MappedResourceCollection.java,215,220,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/MappedResourceCollection.java,222,241,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/ResourceList.java,109,120,apache-ant-1.9.1,1.9.1,
createIterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/LazyResourceCollectionWrapper.java,21,34,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Union.java,103,109,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Union.java,111,121,apache-ant-1.9.1,1.9.1,
getAllToStrings,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Union.java,123,134,apache-ant-1.9.1,1.9.1,
getAllResources,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Union.java,136,153,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Intersect.java,36,55,apache-ant-1.9.1,1.9.1,
collect,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Intersect.java,57,63,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Sort.java,47,60,apache-ant-1.9.1,1.9.1,
createIterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper.java,34,36,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper.java,42,46,apache-ant-1.9.1,1.9.1,
cacheCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper.java,48,53,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/AbstractResourceCollectionWrapper.java,84,94,apache-ant-1.9.1,1.9.1,
createIterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/AbstractResourceCollectionWrapper.java,96,104,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Files.java,309,332,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Resources.java,78,80,apache-ant-1.9.1,1.9.1,
getCache,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Resources.java,81,90,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Resources.java,162,172,apache-ant-1.9.1,1.9.1,
getNested,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Resources.java,271,273,apache-ant-1.9.1,1.9.1,
getCheckClass,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/selectors/InstanceOf.java,75,81,apache-ant-1.9.1,1.9.1,
getSelectors,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/selectors/ResourceSelectorContainer.java,93,103,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Restrict.java,95,105,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Tokens.java,48,86,apache-ant-1.9.1,1.9.1,
getCollection,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/resources/Last.java,37,71,apache-ant-1.9.1,1.9.1,
getImplementationClass,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/Mapper.java,249,267,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/ArchiveFileSet.java,307,321,apache-ant-1.9.1,1.9.1,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/selectors/SelectorContainer.java,53,58,apache-ant-1.9.1,1.9.1,
getComparator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java,941,947,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/selectors/modifiedselector/Cache.java,67,71,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/selectors/modifiedselector/PropertiesfileCache.java,207,218,apache-ant-1.9.1,1.9.1,
tokenizePath,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/selectors/SelectorUtils.java,504,514,apache-ant-1.9.1,1.9.1,
tokenizePath,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/selectors/SelectorUtils.java,516,537,apache-ant-1.9.1,1.9.1,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/selectors/SelectSelector.java,113,122,apache-ant-1.9.1,1.9.1,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/selectors/BaseSelectorContainer.java,77,84,apache-ant-1.9.1,1.9.1,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/selectors/AbstractSelectorContainer.java,81,92,apache-ant-1.9.1,1.9.1,
getFilterReaders,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/FilterChain.java,66,77,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/Resource.java,338,361,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/Path.java,117,123,apache-ant-1.9.1,1.9.1,
iterator,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/types/Path.java,693,709,apache-ant-1.9.1,1.9.1,
getProcessors,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ArgumentProcessorRegistry.java,66,68,apache-ant-1.9.1,1.9.1,
getProjectHelperBySystemProperty,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ProjectHelperRepository.java,163,179,apache-ant-1.9.1,1.9.1,
getProjectHelperByService,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ProjectHelperRepository.java,181,207,apache-ant-1.9.1,1.9.1,
getHelperConstructor,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ProjectHelperRepository.java,209,242,apache-ant-1.9.1,1.9.1,
getHelpers,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/ProjectHelperRepository.java,290,299,apache-ant-1.9.1,1.9.1,
getChoices,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/input/MultipleChoiceInputRequest.java,45,50,apache-ant-1.9.1,1.9.1,
getScannedDirs,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/DirectoryScanner.java,1781,1788,apache-ant-1.9.1,1.9.1,
getStack,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/XmlLogger.java,210,225,apache-ant-1.9.1,1.9.1,
getChildren,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/UnknownElement.java,77,82,apache-ant-1.9.1,1.9.1,
getWrapperStack,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/helper/AntXMLContext.java,252,258,apache-ant-1.9.1,1.9.1,
getTargets,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/helper/AntXMLContext.java,301,307,apache-ant-1.9.1,1.9.1,
getCurrentTargets,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/helper/AntXMLContext.java,400,406,apache-ant-1.9.1,1.9.1,
forceLoadClass,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/AntClassLoader.java,634,658,apache-ant-1.9.1,1.9.1,
forceLoadSystemClass,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/AntClassLoader.java,660,685,apache-ant-1.9.1,1.9.1,
getNamedResources,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/AntClassLoader.java,910,923,apache-ant-1.9.1,1.9.1,
findResources,/home/thiago/git/Ant/apache-ant-1.9.1/src/main/org/apache/tools/ant/AntClassLoader.java,925,936,apache-ant-1.9.1,1.9.1,
