Method,Package,Start in line,End in line,
PlaylistMedia,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/PlaylistMedia.java,16,20,
getId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/PlaylistMedia.java,22,24,
setId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/PlaylistMedia.java,26,28,
getFK_Media_Id,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/PlaylistMedia.java,30,32,
setFK_Media_Id,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/PlaylistMedia.java,34,36,
getFK_PlaylistId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/PlaylistMedia.java,38,40,
setFK_PlaylistId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/PlaylistMedia.java,42,44,
MultimediaContent,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,18,22,
MultimediaContent,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,24,27,
getId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,29,31,
setId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,33,35,
getTitle,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,37,39,
setTitle,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,41,43,
getURI,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,45,47,
setURL,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,49,51,
getPrimaryKey,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,53,55,
setKey,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/MultimediaContent.java,57,59,
Playlist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Playlist.java,7,8,
Playlist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Playlist.java,10,12,
Playlist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Playlist.java,14,17,
getId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Playlist.java,19,21,
setId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Playlist.java,23,25,
getName,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Playlist.java,27,29,
setName,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Playlist.java,31,33,
Audio,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Audio.java,9,10,
Audio,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Audio.java,12,14,
Audio,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Audio.java,16,20,
getId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Audio.java,22,24,
setId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Audio.java,26,28,
getUrl,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Audio.java,32,34,
setUrl,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Audio.java,36,38,
getAlbumId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Audio.java,40,42,
setAlbumId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Audio.java,44,46,
History,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/History.java,10,11,
History,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/History.java,13,15,
History,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/History.java,17,21,
getId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/History.java,23,25,
setId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/History.java,27,29,
getAudioHistoryId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/History.java,31,33,
setAudioHistoryId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/History.java,35,37,
getVideoHistoryId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/History.java,39,41,
setVideoHistoryId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/History.java,43,45,
Video,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Video.java,9,10,
Video,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Video.java,12,14,
Video,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Video.java,16,20,
getId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Video.java,22,24,
setId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Video.java,26,28,
getTitle,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Video.java,30,32,
setTitle,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Video.java,34,36,
getUrl,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Video.java,38,40,
setUrl,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Video.java,42,44,
Author,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Author.java,8,9,
Author,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Author.java,11,13,
Author,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Author.java,15,18,
getId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Author.java,20,22,
setId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Author.java,24,26,
getName,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Author.java,28,30,
setName,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Author.java,32,34,
Album,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,12,13,
Album,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,15,17,
Album,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,19,24,
getId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,26,28,
setId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,30,32,
getName,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,34,36,
setName,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,38,40,
getImage,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,42,44,
setImage,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,46,48,
getAuthorId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,50,52,
setAuthorId,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/core/domain/Album.java,54,56,
onCreateView,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MenuFragment.java,16,32,
onAttach,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MenuFragment.java,34,43,
onClick,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MenuFragment.java,47,50,
onCreate,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,48,100,
onDrawerOpened,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,86,90,
onPostCreate,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,102,113,
update,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,115,132,
run,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,127,129,
createNavDrawer,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,134,146,
onItemClick,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,151,155,
onCreateOptionsMenu,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,158,163,
onOptionsItemSelected,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,165,186,
onPrepareOptionsMenu,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,191,197,
displayView,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,199,234,
exit,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,236,246,
SyncAudios,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,252,254,
doInBackground,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,256,265,
onPostExecute,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/MMUnBActivity.java,267,274,
NavDrawerItem,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,11,11,
NavDrawerItem,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,13,16,
NavDrawerItem,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,18,23,
getTitle,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,25,27,
getIcon,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,29,31,
getCount,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,33,35,
getCounterVisibility,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,37,39,
setTitle,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,41,43,
setIcon,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,45,47,
setCount,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,49,51,
setCounterVisibility,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/NavDrawerItem.java,53,55,
onCreate,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,52,62,
onActivityCreated,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,64,71,
onCreateView,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,73,84,
configureUI,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,86,88,
refreshListPlayLists,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,90,136,
onCreateOptionsMenu,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,138,142,
onOptionsItemSelected,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,144,158,
createPlayList,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,160,192,
onClick,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,170,182,
onClick,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,187,189,
onCreateContextMenu,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,194,199,
onContextItemSelected,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,201,231,
managaerPlaylist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,238,268,
addPositionFromPlaylist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,270,272,
execPlaylist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,274,315,
editPlaylist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,317,359,
onClick,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,338,355,
deletePlaylist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,362,383,
addMusic,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListManager.java,6,6,
onCreate,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,54,64,
onViewCreated,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,68,72,
onCreateView,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,74,83,
onActivityCreated,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,85,118,
configureUI,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,120,122,
refreshlist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,124,162,
onCreateOptionsMenu,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,164,168,
onOptionsItemSelected,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,170,184,
addMusicInPlayList,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,186,205,
executePlayList,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,207,232,
onActivityResult,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,235,239,
loadMore,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,241,288,
doInBackground,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,248,269,
onPostExecute,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,271,286,
onChooseMore,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,290,301,
removeItems,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,303,321,
saveItems,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,323,326,
onCreate,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,45,54,
onActivityCreated,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,56,82,
onViewCreated,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,84,94,
onChooseMore,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,97,106,
configureUI,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,112,164,
onLoadMore,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,116,120,
onCreateActionMode,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,126,129,
onPrepareActionMode,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,131,134,
onActionItemClicked,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,136,144,
onDestroyActionMode,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,146,148,
onItemCheckedStateChanged,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,150,161,
saveItems,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,170,182,
loadMore,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,186,227,
doInBackground,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,192,210,
onPostExecute,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,214,223,
audioViewItem,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,230,253,
ArrayAdapterPlaylist,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterPlaylist.java,25,31,
getView,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterPlaylist.java,34,64,
ArrayAdapterAudio,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterAudio.java,24,30,
getView,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterAudio.java,33,65,
toggleSelection,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterAudio.java,76,78,
removeSelection,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterAudio.java,80,83,
selectView,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterAudio.java,85,91,
getSelectedCount,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterAudio.java,93,95,
getSelectedIds,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterAudio.java,97,99,
swapItem,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/ArrayAdapterAudio.java,102,105,
AudioViewItem,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/AudioViewItem.java,12,18,
getLongitude,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/StubGPS.java,5,8,
getLatitude,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/StubGPS.java,10,13,
PlaylistViewItem,/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlaylistViewItem.java,10,14,
