File,Start in line,End in line,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,96,135,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,173,179,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,281,287,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,342,353,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MainPlaylistListFragment.java,372,380,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,126,158,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,138,150,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/PlayListEditorFragment.java,251,266,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,171,181,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,195,207,
/home/thiago/ProjetosUnb/MMAndroid/src/br/unb/mobileMedia/playlist/MusicSelectFragment.java,234,248,
