File,Start in line,End in line,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/types/XMLCatalog.java,576,582,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/types/resolver/ApacheCatalogResolver.java,113,119,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,280,302,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/SQLExec.java,351,411,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/optional/junit/FormatterElement.java,217,223,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java,405,416,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java,423,429,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/optional/XMLValidateTask.java,322,339,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbcTask.java,248,258,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/optional/net/SetProxy.java,261,274,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/optional/pvcs/Pvcs.java,183,278,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/AbstractCvsTask.java,333,383,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/taskdefs/email/MimeMailer.java,118,232,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/util/WeakishReference.java,67,74,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/IntrospectionHelper.java,1172,1195,
/home/thiago/git/apache-ant-1.6.2/src/main/org/apache/tools/ant/IntrospectionHelper.java,1212,1230,
