Method,Package,Start in line,End in line,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/types/assertions/AssertionTest.java,24,27,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/input/Junk4.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/input/Junk2.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/input/Junk8.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/input/Junk3.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/input/Junk5.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/input/Junk6.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/input/Junk1.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/input/Junk9.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/input/Junk7.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/expected/Junk4.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/expected/Junk2.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/expected/Junk8.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/expected/Junk3.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/expected/Junk5.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/expected/Junk6.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/expected/Junk1.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/expected/Junk9.java,3,11,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/fixcrlf/expected/Junk7.java,3,11,
method1,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/optional/depend/src4/test/ContainsOnlyInner.java,4,6,
method1,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/optional/depend/src4/test/MethodParam.java,4,6,
E,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/optional/depend/src1/E.java,2,4,
main,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/taskdefs/optional/dotnet/jsharp.java,24,26,
addTask,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/core/containersrc/test/SpecialSeq.java,34,42,
execute,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/core/containersrc/test/SpecialSeq.java,44,57,
addFileset,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/core/containersrc/test/SpecialSeq.java,59,61,
addNested,/home/thiago/git/apache-ant-1.6.2/src/etc/testcases/core/containersrc/test/SpecialSeq.java,63,65,
Bebida,/home/thiago/git/apache-ant-1.6.2/src/Enum.java,16,19,
getPreco,/home/thiago/git/apache-ant-1.6.2/src/Enum.java,21,23,
getNome,/home/thiago/git/apache-ant-1.6.2/src/Enum.java,25,27,
Sanduiche,/home/thiago/git/apache-ant-1.6.2/src/Enum.java,31,35,
Comida,/home/thiago/git/apache-ant-1.6.2/src/Enum.java,38,41,
getPreco,/home/thiago/git/apache-ant-1.6.2/src/Enum.java,43,45,
